"Alumno","Indicador 22"
"181.1306.077","3.77"
"191.1405.007","2.85"
"191.1405.033","2.84"
"201.1306.036","2.5"
"151.3601.472","3.21"
"171.0105.015","3"
"131.2103.595","1.71"
"132.0304.234","2.19"
"151.0802.230","2.62"
"201.0804.008","1.09"
"191.0906.042","2.01"
"211.1006.009","1.95"
"191.0306.022","2.99"
"171.1006.031","3.34"
"171.2405.051","3.62"
"112.0304.280","2.13"
"161.0904.784","2.3"
"201.0906.014","1.69"
"191.1106.026","2.9"
"171.1505.041","3.62"
"191.3602.012","2.33"
"211.1405.042","0"
"211.0906.071","1.53"
"092.0904.622","1.73"
"211.1106.012","1.55"
"191.1306.017","3.6"
"211.1405.002","1.75"
"181.1205.007","2.76"
"181.1505.031","3.71"
"181.2405.036","2.69"
"141.1503.321","3.23"
"161.1604.850","3.48"
"191.0206.001","2.31"
"191.0606.028","3.17"
"131.0904.468","2.02"
"181.1106.042","3.85"
"171.1405.010","3.01"
"211.1006.002","1.99"
"181.1006.032","3.71"
"191.1906.053","2.6"
"191.3602.029","1.38"
"141.0204.534","2.53"
"171.0804.050","2.7"
"191.0206.011","3.16"
"201.0706.031","2.42"
"112.1803.502","1.98"
"151.3601.449","3.12"
"211.0306.055","1.88"
"081.0204.922","1.67"
"201.0804.018","1.25"
"101.1304.240","1.88"
"211.2405.029","1.17"
"171.2806.027","3.36"
"211.1606.039","1.75"
"161.1604.837","3.63"
"211.2904.011","1.87"
"211.3602.005","0"
"151.0605.713","2.63"
"171.0706.032","2.92"
"211.1106.026","2.63"
"151.0605.691","2.66"
"191.0706.054","1.76"
"191.1306.049","2.98"
"211.3602.075","1.31"
"211.1306.031","2.04"
"201.1505.009","2.55"
"151.3501.436","2.95"
"191.1606.018","4.14"
"191.3602.049","2.49"
"181.3602.005","3.18"
"211.0906.004","1.54"
"191.0906.049","3.26"
"201.0906.074","1.08"
"171.1306.028","3.1"
"191.1405.061","3.22"
"131.1604.560","2.73"
"211.3503.035","2.07"
"141.0904.435","2.52"
"191.1906.022","3.9"
"211.0906.050","1.76"
"161.1304.730","3.03"
"181.0206.021","2.64"
"211.1006.029","1.66"
"151.1203.085","2.41"
"211.1306.033","1.67"
"211.1906.049","1.9"
"121.0904.424","2.66"
"201.3503.037","2.52"
"171.0606.051","3.01"
"171.0706.057","2.72"
"191.1906.021","3.09"
"211.1906.009","1.84"
"201.2806.012","2.96"
"201.0506.012","2.63"
"181.1606.060","3.81"
"191.1006.027","3.04"
"181.0306.035","2.31"
"201.1505.027","2.5"
"181.2405.047","3.37"
"161.3502.439","3.23"
"211.1606.061","1.9"
"201.1405.024","1.74"
"211.1405.022","0.25"
"191.0105.023","2.61"
"211.2904.052","1.28"
"201.0906.004","2.35"
"171.1405.084","3.59"
"211.1006.022","2.42"
"062.1009.064","2.16"
"191.1306.074","2.48"
"201.2904.001","2.89"
"082.0704.035","2.34"
"151.1905.615","2.59"
"191.1306.056","2.31"
"201.3602.027","2.14"
"161.0204.871","3.03"
"122.0403.035","2.71"
"171.0906.013","2.8"
"181.1106.038","3.63"
"082.1604.445","1.91"
"181.1205.031","3.08"
"151.3401.405","2.84"
"161.0802.809","2.67"
"171.1306.025","3.36"
"211.1405.052","1.4"
"181.0105.038","2.98"
"132.0103.263","2.6"
"191.0606.054","2.53"
"141.0904.444","2.73"
"191.1405.037","3.67"
"211.0306.022","1.99"
"121.2103.519","2.08"
"171.2904.040","3.2"
"131.2103.589","2.02"
"211.1306.011","1.7"
"181.1505.066","3.27"
"161.2403.935","3.35"
"181.2806.058","3.03"
"221.3603.038","1.23"
"211.1306.040","1.98"
"191.0206.004","2.01"
"171.0804.071","2.14"
"211.0804.037","1"
"171.1306.056","3.49"
"161.1503.196","3.16"
"191.2806.013","2.67"
"171.0906.048","2.74"
"201.0906.058","1.25"
"171.1306.030","3.35"
"211.1405.041","1.63"
"181.1205.049","0.92"
"171.1606.046","3.72"
"181.0105.046","2.98"
"141.0704.065","1.92"
"211.1405.001","1.59"
"181.0306.038","2.97"
"181.1006.007","3.36"
"191.2806.024","3.77"
"171.1606.070","3.77"
"201.0606.020","2.49"
"181.0506.026","1.91"
"191.1606.069","3.86"
"171.0706.103","3.05"
"191.0906.083","3.15"
"121.0904.415","1.76"
"181.2503.031","3.18"
"211.0906.076","0"
"171.0506.048","3.27"
"181.1106.019","3.58"
"201.2806.020","2.85"
"201.2904.021","2.71"
"211.1306.062","1.67"
"191.0405.079","2.68"
"181.0606.019","3.35"
"211.1106.003","1.77"
"191.1306.077","3.14"
"211.0606.036","1.54"
"201.2806.019","2.83"
"211.0706.022","1.8"
"191.0105.014","3.38"
"131.0103.424","2.17"
"211.2105.019","1.39"
"201.0206.018","2.21"
"191.0706.011","1.76"
"191.1205.031","3.66"
"201.1205.024","2.51"
"201.1306.033","2.65"
"181.1606.024","3.67"
"161.3502.435","2.53"
"141.0103.408","2.13"
"191.0804.045","2.7"
"112.0204.447","2.49"
"191.0706.049","1.67"
"171.1205.040","2.89"
"211.1306.064","2.5"
"181.3503.010","3.39"
"191.0506.098","4.01"
"092.0103.264","2.21"
"191.0606.013","2.73"
"201.0706.025","2.4"
"181.1405.036","2.88"
"211.0606.052","1.49"
"161.1905.379","3.5"
"171.3503.023","3.67"
"211.3503.020","1.89"
"191.0105.019","2.78"
"092.0304.235","2.25"
"211.0804.041","1.68"
"191.0306.025","2.93"
"211.2904.053","1.89"
"141.0403.109","2.53"
"211.0405.023","1.38"
"181.0606.034","3.26"
"161.1403.699","2.96"
"171.1006.024","3.68"
"211.1906.047","1.53"
"211.2405.026","1.88"
"171.2503.025","2.39"
"181.2806.013","3.5"
"191.2806.028","1.72"
"201.3503.033","1.73"
"04.0518.9.AH","1.74"
"191.1205.064","1.93"
"211.1505.047","1.71"
"211.1906.007","1.72"
"151.0304.461","1.93"
"151.0403.043","2.77"
"122.0503.025","2.24"
"181.0804.028","2.92"
"171.1205.013","3.49"
"211.2806.020","1.9"
"211.1505.007","0.71"
"211.3602.070","1.15"
"122.0304.314","1.76"
"171.1405.014","3.52"
"211.0606.055","1.49"
"03.0401.1.AC","1.46"
"211.1106.023","1.88"
"171.1306.007","3"
"171.1405.074","3.38"
"211.1306.071","0"
"171.3503.063","3.17"
"131.0704.055","2.13"
"191.2806.045","4"
"122.0304.311","2.94"
"181.1205.003","2.89"
"171.1906.020","3.05"
"191.1906.020","3.63"
"181.1906.015","3.76"
"211.3402.049","1.57"
"181.0804.014","1.67"
"201.0206.008","2.04"
"171.0306.003","2.7"
"171.1405.081","3.06"
"191.2405.021","3.67"
"161.0304.223","2.39"
"181.0606.043","3.26"
"191.0804.064","2.78"
"211.1106.004","1.68"
"191.0306.082","2.35"
"171.0306.013","2.67"
"171.3503.049","3.27"
"191.0506.032","1.41"
"201.2503.005","2.23"
"211.2503.058","1.57"
"201.0105.026","2.24"
"092.1304.229","2.06"
"171.1306.053","3.51"
"102.1004.123","1.81"
"181.3503.049","2.95"
"132.0304.251","2.19"
"171.0405.024","3.64"
"181.1906.054","4.02"
"181.2405.007","3.45"
"151.0605.697","2.66"
"211.1006.025","1.87"
"181.1205.037","1.82"
"141.1203.223","1.88"
"191.1505.018","2.39"
"191.1906.043","3.88"
"191.2405.034","3.69"
"171.3503.013","2.81"
"201.0606.018","2.28"
"171.0405.033","3.03"
"171.0506.049","3.12"
"171.0804.052","2.46"
"161.2403.406","3.15"
"191.1906.005","2.83"
"181.3503.030","2.92"
"201.0906.052","1.81"
"211.1006.020","2.01"
"161.1304.725","3.05"
"151.2502.778","2.12"
"191.2806.002","3.53"
"191.0506.027","2.74"
"191.2503.026","2.53"
"191.0206.007","2.52"
"151.0505.020","2.64"
"171.0706.008","3.17"
"151.0704.828","2.4"
"161.0704.571","2.61"
"211.1205.034","1.65"
"191.1405.052","2.51"
"181.0706.058","2.81"
"201.0706.029","1.75"
"211.0706.061","1.49"
"161.2805.892","3.24"
"211.1606.041","1.63"
"191.0206.017","2.84"
"171.0706.018","2.82"
"201.1106.014","3.25"
"171.1205.090","3"
"181.2806.065","3.58"
"181.0405.021","1.19"
"201.1606.023","2.89"
"211.1606.001","1.86"
"181.3503.052","3.28"
"181.0804.017","2.88"
"211.1106.024","1.73"
"201.1006.011","2.49"
"181.1906.021","3.78"
"061.1061.106","3.43"
"201.0606.030","2.46"
"191.0306.036","3.41"
"181.1006.016","3.7"
"132.1203.084","2.4"
"181.1205.008","3.03"
"181.3503.061","3.38"
"151.2502.782","2.21"
"201.2503.025","2.02"
"211.0804.052","1.58"
"211.0906.090","1.77"
"211.0706.031","1.39"
"191.1205.023","3.61"
"191.1906.009","2.07"
"131.3401.709","2.62"
"071.0201.043","1.88"
"191.1205.062","2.3"
"151.2805.342","3.1"
"161.1604.308","3.52"
"141.0304.365","2.16"
"211.0506.029","1.47"
"191.0606.003","2.49"
"191.0804.034","2.51"
"191.0804.068","2.5"
"211.1505.038","1.7"
"211.2405.019","1.71"
"132.3501.503","2.58"
"191.0105.009","2.8"
"171.0804.055","3.07"
"161.1403.715","3.16"
"171.1405.011","2.62"
"191.0306.071","2.89"
"191.1205.025","2.95"
"171.2806.010","3.47"
"181.2806.069","2.44"
"211.2806.046","1.08"
"211.0906.074","1.65"
"201.0606.008","2.26"
"211.0906.099","1.44"
"171.1106.012","3.51"
"161.1203.638","2.73"
"211.1306.013","1.93"
"181.2806.008","3.53"
"201.2904.025","2.79"
"211.0906.017","1.49"
"181.1306.045","3.59"
"171.1006.055","3.19"
"181.2806.048","3.3"
"191.1006.004","3.07"
"171.1306.046","3.31"
"201.1405.021","2.17"
"171.1006.008","3.08"
"131.2502.143","1.72"
"211.2503.070","1.34"
"191.3503.028","2.34"
"132.0304.225","2.07"
"211.0804.063","1.83"
"181.0804.025","3.35"
"112.2603.491","2.62"
"201.0306.004","2.62"
"211.0306.062","1.32"
"211.3402.044","1.72"
"151.2805.331","3.36"
"191.0105.025","2.56"
"191.0706.001","2.97"
"191.1606.043","3.95"
"211.0606.023","1.41"
"131.0704.057","2.17"
"181.1906.043","3.43"
"201.2503.028","2.06"
"092.0103.273","2.28"
"141.0304.373","2.61"
"181.0606.056","3.07"
"171.0706.046","2.93"
"201.1606.031","2.77"
"211.0405.028","1.45"
"201.0306.035","2.69"
"071.0762.114","1.94"
"171.1906.008","2.37"
"181.1606.056","3.55"
"191.3602.026","2.55"
"191.0804.081","3.08"
"201.0804.035","2.69"
"171.1106.054","3.68"
"171.1505.035","3.24"
"161.3502.966","2.83"
"211.3402.010","1.7"
"191.2503.059","2.82"
"181.3402.027","3.22"
"201.3602.031","1.65"
"181.1405.025","3.67"
"161.0103.235","2.15"
"121.1004.197","1.95"
"211.1306.069","0.82"
"211.0105.043","3.5"
"121.0503.065","2.36"
"191.0506.024","3.21"
"171.1405.023","3.02"
"161.1403.683","2.17"
"161.0204.872","3.3"
"171.2405.015","2.75"
"161.1604.301","3.51"
"191.3503.055","2.12"
"171.0606.017","3.04"
"121.0904.412","1.98"
"181.3602.034","1.5"
"211.2503.063","1.78"
"191.2904.042","3.56"
"211.2105.026","1.8"
"201.0206.030","2.31"
"191.0706.030","2.87"
"171.0804.100","3.03"
"132.2603.431","1.89"
"191.1205.100","2.61"
"201.2405.015","2.71"
"201.1505.030","2.58"
"171.3503.059","3.15"
"161.0904.259","2.58"
"111.1304.262","1.82"
"181.1906.011","3.65"
"191.2405.026","3.82"
"211.0706.064","1.35"
"151.1104.654","3.21"
"201.1106.009","2.45"
"201.1306.013","2.42"
"191.1906.035","1.99"
"181.2806.005","3.37"
"191.2904.013","3.63"
"181.0706.055","3.04"
"181.1205.038","3.18"
"03.0041.N.AI","1.43"
"151.0403.040","2.71"
"191.0306.050","1.95"
"171.3602.050","2.54"
"161.0304.768","2.31"
"132.2403.475","3.06"
"211.2503.001","1.8"
"181.2904.037","3.63"
"181.3602.024","1.82"
"161.1304.174","3.17"
"171.1405.083","3.03"
"181.1405.004","3.26"
"201.1606.036","2.89"
"181.0506.069","3.69"
"211.1405.038","1.39"
"171.1505.053","3.02"
"171.1906.001","3.21"
"181.2806.045","3.59"
"191.3402.066","3.53"
"191.2503.008","2.93"
"161.3601.447","3.33"
"191.3602.016","2.65"
"161.1604.331","3.83"
"161.0304.199","1.81"
"161.0304.763","2.64"
"171.1106.038","3.25"
"181.1405.018","3.34"
"211.2405.016","1.57"
"171.1606.075","3.55"
"201.2503.032","2.53"
"211.0706.008","2.11"
"181.0706.021","3.08"
"132.2901.457","2.9"
"161.0802.272","2.7"
"201.0804.041","2.42"
"181.1405.053","2.85"
"151.0605.485","2.63"
"171.0706.107","2.85"
"211.0706.045","1.47"
"171.1006.020","3.34"
"201.1505.010","2.57"
"181.1505.035","3.64"
"161.3601.974","2.97"
"97.0437.N.AA","1.43"
"201.0306.026","2.28"
"171.0706.080","2.59"
"181.2806.052","3.15"
"052.1212.678","2.06"
"201.1906.016","1.93"
"113.0103.090","1.76"
"141.1203.216","2.89"
"181.0606.057","3.12"
"191.1606.022","3.84"
"191.3503.002","2.55"
"171.1606.008","3.48"
"191.1606.050","3.87"
"161.0304.201","2.42"
"161.0304.215","2.17"
"151.0403.042","2.88"
"191.0606.042","3.09"
"171.0606.036","3.19"
"171.0706.112","2.76"
"211.2503.066","1.9"
"141.1104.162","3.37"
"151.2105.470","2.91"
"191.1405.086","2.8"
"191.0105.051","3"
"171.1006.038","3.3"
"161.2903.915","2.94"
"151.0304.152","2.15"
"171.0804.086","2.94"
"201.0804.044","2.31"
"201.1106.005","2.54"
"171.0706.117","1.74"
"211.1306.067","2.36"
"092.0103.267","2.06"
"211.0105.042","1.49"
"151.0403.662","2.83"
"181.1405.015","3.13"
"171.1405.028","3.19"
"211.2806.008","1.93"
"201.1606.016","2.86"
"161.3601.980","3.42"
"131.3401.705","2.9"
"191.1106.024","3.78"
"211.1405.018","1.73"
"161.3401.949","1.41"
"211.3503.009","1.78"
"181.1606.042","3.96"
"191.3602.046","2.53"
"191.1405.019","2.33"
"181.1205.055","3.17"
"201.2503.018","2.43"
"201.3503.025","2.53"
"161.0304.211","2.72"
"161.1304.721","3.17"
"181.1906.057","3.31"
"171.3503.030","3.09"
"191.3503.034","2.86"
"191.0506.095","1.09"
"151.1604.288","3.34"
"102.0704.040","2.35"
"181.3402.037","3.15"
"211.3503.019","1.01"
"171.0606.007","3.1"
"191.0804.049","2.56"
"131.0904.472","2.31"
"151.1304.116","2.92"
"191.1306.053","3.74"
"181.1405.011","3.32"
"171.0206.027","2.9"
"171.1006.046","3.44"
"161.1004.629","3.32"
"171.1906.025","3.43"
"171.1606.064","3.53"
"161.0304.764","2.1"
"161.0605.500","2.6"
"171.0706.015","2.64"
"171.1205.048","2.88"
"201.1306.042","1.69"
"201.3402.046","1.47"
"091.0605.026","1.62"
"181.1006.020","3.19"
"181.2503.018","2.92"
"171.0306.027","2.93"
"201.1606.007","2.97"
"211.3402.061","2.71"
"201.2503.029","2.74"
"191.0105.036","2.95"
"201.0105.010","3.18"
"151.0605.001","3.09"
"141.1304.289","2.63"
"171.0206.030","3.17"
"191.0306.064","2.86"
"211.1306.089","1.69"
"211.2503.051","1.92"
"201.2503.004","2.45"
"092.0904.296","2.22"
"171.1006.006","3.15"
"181.0306.010","0.38"
"191.1306.082","3.24"
"181.2503.065","3.04"
"201.3503.036","2.31"
"181.1606.039","3.61"
"181.1606.011","3.93"
"121.0204.491","2.43"
"171.0706.074","3.09"
"211.0906.116","1.41"
"191.1405.030","3.6"
"201.1606.035","2.62"
"191.0506.052","2.56"
"191.1606.067","4"
"211.2503.038","1.25"
"171.0606.004","2.85"
"151.1604.252","3.34"
"211.1505.059","1.54"
"181.1505.042","3.71"
"201.1606.012","2.83"
"181.1606.004","0.98"
"151.0304.166","2.56"
"191.0906.076","2.19"
"211.0906.091","1.49"
"191.0306.073","2.7"
"191.1205.079","3.08"
"191.1505.010","1.86"
"201.2503.009","3.13"
"161.0704.009","2.25"
"191.0804.060","2.44"
"211.1205.006","1.55"
"161.2903.917","3.1"
"191.3503.051","3.19"
"161.3601.978","2.95"
"171.0405.025","2.88"
"181.1306.003","2.56"
"171.0706.050","2.89"
"201.2904.011","2.84"
"171.0606.014","3.3"
"111.1503.335","2.14"
"161.1203.139","2.84"
"201.1906.025","1.92"
"181.2503.076","3.39"
"211.3402.028","1.59"
"151.0904.730","2.36"
"181.1306.010","3.18"
"181.0706.043","2.93"
"191.1306.059","3.67"
"181.3402.043","2.85"
"201.1205.019","2.48"
"191.1405.048","3.38"
"181.0306.055","3.13"
"211.0606.056","1.58"
"211.1306.024","1.47"
"211.2503.068","1.62"
"221.1206.022","1.1"
"151.0403.668","2.93"
"082.0704.031","2.11"
"092.0704.038","1.64"
"181.1505.065","1.94"
"201.2503.024","0.97"
"211.1405.013","1.53"
"151.1104.632","3.43"
"171.1205.054","2.17"
"171.1606.043","3.4"
"201.3602.020","2.22"
"181.1306.071","3.32"
"171.1205.001","3.06"
"161.1203.654","2.86"
"211.2405.008","0.77"
"171.3402.045","3.43"
"141.0103.399","2.66"
"171.0804.064","2.89"
"191.0906.012","1.37"
"211.0906.106","1.45"
"191.1205.097","3.15"
"191.1306.024","3.51"
"181.1505.039","3.34"
"211.2503.062","1.54"
"191.0804.030","3.25"
"181.0706.066","2.75"
"191.1306.084","3.07"
"171.1505.047","3.3"
"191.2806.038","3.71"
"191.2904.005","1.75"
"211.0906.112","1.65"
"191.1106.035","2.85"
"181.2503.005","3.04"
"191.2806.012","3.45"
"201.2806.005","2.84"
"201.3402.042","2.57"
"191.1106.021","3.88"
"211.0706.019","1.75"
"201.1306.044","2.42"
"91.0100.8.AL","0.91"
"132.3501.520","2.83"
"171.1606.020","3.33"
"151.3601.535","2.91"
"191.2503.058","2.69"
"201.0606.033","2.35"
"191.0906.072","2.64"
"171.0906.016","2.74"
"201.1306.004","2.3"
"131.0204.576","2.82"
"211.1205.056","1.77"
"191.1205.008","3.75"
"201.2904.016","2.86"
"181.3503.029","3.47"
"201.0906.064","2.43"
"211.1006.004","1.77"
"171.2904.034","3.17"
"201.1205.028","2.42"
"181.1306.074","3.29"
"171.2904.010","3.57"
"181.0105.002","3.32"
"191.0105.033","2.84"
"191.0606.027","2.51"
"181.0906.060","2.22"
"181.1306.065","3.12"
"201.0706.026","1.85"
"211.2405.040","1.98"
"181.2503.073","3.11"
"171.3602.008","2.03"
"171.1306.066","3.22"
"181.1006.019","3.78"
"201.2405.003","2.79"
"171.2904.045","3.43"
"191.2503.006","2.6"
"201.2105.002","3.8"
"181.0105.041","3.03"
"191.0405.025","3.18"
"161.0605.502","2.83"
"171.0804.034","2.78"
"211.0306.042","1.56"
"161.3601.981","3.14"
"211.0906.087","1.47"
"211.3503.037","1.94"
"181.1306.038","2.83"
"201.2806.031","3.66"
"211.2105.008","1.74"
"161.0605.541","2.77"
"181.0706.042","2.76"
"201.1906.020","3.2"
"181.2503.045","2.46"
"181.2806.010","3.5"
"191.3402.019","2.85"
"181.2904.044","3.49"
"161.1104.080","3.51"
"171.1306.063","3.23"
"181.1306.079","3.35"
"211.1006.003","1.98"
"201.2806.025","2.82"
"191.1306.058","2.31"
"191.0105.008","3.19"
"181.0606.054","3.15"
"161.0704.584","2.65"
"171.0804.039","2.99"
"211.0906.102","1.57"
"191.0306.070","1.05"
"211.3602.046","0"
"181.1106.008","3.82"
"191.1405.031","3.29"
"211.0706.009","1.51"
"181.1205.001","3.08"
"151.2502.065","2.96"
"171.2405.016","3.16"
"181.0405.016","2.67"
"082.0704.059","2.06"
"201.0506.017","2.33"
"122.0403.042","2.51"
"201.1906.002","2.68"
"171.2806.032","3.17"
"211.0706.033","1.46"
"211.0906.072","1.62"
"161.1604.861","3.68"
"161.0904.795","3.12"
"181.0906.047","2.77"
"161.1004.113","3.58"
"191.0906.044","3.12"
"171.0706.115","2.88"
"181.1205.036","3.22"
"04.0246.3.AK","2.31"
"171.2806.011","2.57"
"171.2503.008","2.12"
"191.0606.060","1.75"
"171.0105.013","2.94"
"191.0804.005","2.37"
"111.0503.078","2.07"
"191.1306.011","3.77"
"171.0906.042","2.4"
"191.1306.014","2.67"
"191.1906.014","2.89"
"191.2806.054","2.82"
"191.0506.062","2.59"
"211.0706.051","1.5"
"161.0802.814","2.75"
"181.1106.036","3.69"
"211.1006.023","1.84"
"211.1505.060","3.64"
"171.1006.036","3.88"
"211.2806.040","0.88"
"151.0304.675","2.35"
"151.2502.472","2.89"
"191.2105.002","3.11"
"181.0206.014","1.61"
"211.1505.003","2.01"
"191.2503.013","3.06"
"171.2904.011","3.44"
"181.3503.058","2.97"
"211.2503.015","0"
"181.0506.010","3.56"
"191.0906.058","2.41"
"161.0904.240","2.9"
"171.3503.041","3.32"
"181.0606.060","3.19"
"132.1403.136","2.35"
"211.1306.070","0"
"171.1606.016","3.33"
"181.3503.060","0"
"181.0506.070","1.82"
"201.0804.045","2.29"
"191.0906.039","3.3"
"201.1106.018","2.52"
"171.1006.039","3.08"
"211.0906.012","1.53"
"191.2405.015","3.53"
"191.2806.015","3.77"
"211.0506.028","1.19"
"171.0405.037","2.86"
"181.0804.050","3.04"
"102.1304.214","1.94"
"201.3602.018","2.09"
"191.1205.006","1.2"
"181.1306.047","3.61"
"171.0706.042","1.24"
"211.0706.063","1.7"
"201.0906.022","0.6"
"211.2105.017","1.71"
"141.0605.042","2.29"
"191.0306.075","2.45"
"171.1205.050","3.08"
"161.1503.752","3.23"
"181.2904.029","3.38"
"191.0405.067","2.19"
"191.0804.053","1.65"
"191.1405.020","2.58"
"191.0306.028","3.12"
"171.0906.006","2.69"
"131.1503.348","2.81"
"201.1606.015","2.86"
"211.2904.003","1.64"
"181.0606.046","2.44"
"191.0306.034","2.97"
"211.0306.028","1.76"
"201.3402.017","2.26"
"211.0405.027","0.38"
"201.1306.028","2.31"
"171.0606.033","2.97"
"161.0304.214","3.2"
"191.1106.028","3.82"
"201.1205.012","2.67"
"211.1205.032","1.68"
"99.0390.5.ES","1.49"
"111.2403.597","1.83"
"171.2503.070","2.82"
"131.0103.440","2.54"
"201.3602.008","2.83"
"211.2105.027","1.67"
"191.1405.063","2.95"
"191.3402.070","3.1"
"191.2503.079","1.65"
"181.3503.044","3.16"
"082.0304.267","1.96"
"181.1405.035","3.35"
"102.0204.465","2.35"
"211.2806.050","0"
"161.2403.401","2.97"
"181.2405.009","3.53"
"181.1006.026","3.56"
"191.3503.064","2.48"
"171.0804.047","2.71"
"171.0206.016","1.99"
"181.1006.011","3.49"
"191.2405.011","2.39"
"132.2603.439","2.68"
"211.0606.031","1.55"
"151.0505.015","2.5"
"151.0904.216","2.59"
"132.0503.024","2.19"
"191.1306.071","3.21"
"181.0606.030","3.25"
"211.0906.002","1.54"
"181.0906.058","2.91"
"171.0906.001","2.76"
"122.1503.271","2.53"
"151.0904.724","2.33"
"191.1006.030","3.29"
"191.0105.020","2.46"
"181.0105.048","2.7"
"211.1306.080","1.73"
"91.0063.N.AL","2.37"
"171.1906.005","3.09"
"171.1606.010","3.39"
"161.2403.407","3.2"
"191.2503.048","2.85"
"171.2904.037","3.21"
"211.0206.009","1.68"
"181.0306.073","2.34"
"171.1405.076","3.04"
"191.1006.013","3.05"
"181.2806.047","3.48"
"201.3402.044","1.85"
"181.2405.049","3.36"
"171.3602.016","3.35"
"171.0804.010","3"
"132.0204.402","2.45"
"181.1306.055","3.29"
"191.1505.041","3.72"
"161.3502.969","3.02"
"191.1606.048","3.99"
"181.3503.008","2.72"
"171.0706.105","2.99"
"181.1106.002","3.03"
"171.1306.058","3.35"
"181.0706.001","2.8"
"141.0904.434","2.3"
"201.1405.002","2.29"
"161.2403.928","3.07"
"161.1304.726","3.41"
"171.2503.029","3.12"
"211.2806.035","1.85"
"191.1606.053","3.8"
"191.0405.037","2.18"
"191.0206.020","2.44"
"181.0306.056","3.32"
"171.0606.029","3.03"
"201.1006.002","2.77"
"201.1205.021","2.27"
"181.1906.024","3.85"
"181.2806.067","2.71"
"181.0206.004","3.32"
"171.1606.076","3.69"
"201.3602.036","2.4"
"191.3503.035","1.44"
"161.0403.601","2.48"
"171.0906.011","2.64"
"211.1006.024","1.86"
"151.0204.744","2.87"
"161.1004.119","3.19"
"132.3401.488","2.72"
"161.0605.007","2.53"
"171.0906.039","2.92"
"211.0606.061","1.66"
"181.0706.011","3.1"
"191.1205.063","3.01"
"191.1606.055","4.04"
"181.2405.030","3.55"
"171.2503.010","3.24"
"171.2806.048","3.73"
"211.2806.013","1.95"
"191.2503.068","2.6"
"201.0105.014","2.33"
"211.0606.057","1.63"
"201.0706.007","1.94"
"211.1906.036","1.63"
"171.3602.013","2.7"
"211.2503.004","1.76"
"211.0906.045","1.57"
"171.1106.045","3.43"
"171.1405.059","3.16"
"122.0904.371","2.3"
"191.1906.049","3.38"
"111.2403.595","2.89"
"181.2503.010","2.93"
"211.1606.067","2.01"
"201.2503.002","2.17"
"201.3503.004","1.25"
"181.0105.024","2.3"
"201.0906.062","2.65"
"211.2503.005","1.96"
"141.0505.088","2.66"
"181.0506.072","2.73"
"201.1405.022","2.08"
"161.1203.657","2.86"
"191.1606.060","3.59"
"181.2503.052","2.7"
"211.3503.003","1.68"
"171.1606.058","3.26"
"181.1205.043","3.14"
"211.2405.011","1.36"
"181.2405.025","3.29"
"201.3402.006","3.63"
"211.0405.002","1.39"
"181.0804.052","3.1"
"201.0706.017","2.35"
"171.3402.029","2.93"
"161.0304.772","3.07"
"091.0704.054","2.31"
"151.0204.473","2.68"
"171.0706.029","2.09"
"112.2103.467","2.47"
"151.0605.696","2.84"
"132.1503.199","2.8"
"191.2503.039","1.68"
"111.0802.443","2.3"
"191.0906.001","2.11"
"132.1304.171","2.77"
"211.0706.056","1.41"
"171.1006.030","3.57"
"171.1205.028","2.61"
"201.1505.031","3.17"
"211.2405.021","1.75"
"211.0606.014","1.49"
"211.2904.014","1.74"
"161.2105.351","3.33"
"122.0904.394","2.35"
"122.1503.281","2.38"
"161.1203.666","2.15"
"141.0204.522","3.09"
"201.0306.039","2.1"
"171.0405.018","3.1"
"161.0704.587","2.77"
"161.1604.317","3.29"
"171.3602.047","2.36"
"201.0206.017","1.47"
"201.0906.029","1.73"
"141.1304.311","2.42"
"151.1403.571","3.06"
"161.0204.347","2.88"
"141.1503.316","2.3"
"151.0403.460","2.47"
"171.2806.043","3.48"
"161.1503.741","3.6"
"131.3401.703","2.87"
"112.3401.570","2.47"
"161.0704.566","2.79"
"161.0704.588","2.57"
"171.0906.010","3.19"
"181.1906.029","3.86"
"191.2405.009","3.72"
"201.2503.022","2.39"
"151.0403.046","2.89"
"211.0405.030","1.41"
"131.0704.071","2.06"
"171.2904.005","3.57"
"171.2503.055","1.95"
"141.3401.628","2.14"
"161.0103.230","2.97"
"181.0405.029","3.28"
"181.0804.009","3.08"
"181.0306.013","1.2"
"161.2805.362","3.7"
"161.3502.961","3.05"
"151.3401.525","2.32"
"191.0506.090","0.13"
"181.1106.026","2.6"
"191.1505.029","3.53"
"171.1505.005","3.11"
"201.3503.032","2.5"
"171.3402.019","2.87"
"171.2806.026","3.89"
"181.0105.020","2.77"
"191.0606.030","3.2"
"171.1405.087","3.6"
"171.1006.048","2.93"
"181.1505.083","3.09"
"191.3503.015","3.51"
"211.0206.026","2.1"
"151.2903.372","3.03"
"211.0306.035","1.27"
"171.1205.043","3.12"
"171.1606.037","3.6"
"161.2403.395","3.08"
"191.2405.032","3.33"
"181.2405.002","3.46"
"211.1106.029","1.84"
"211.1205.025","2.54"
"211.0405.019","1.5"
"161.0505.593","2.9"
"171.0804.028","3.25"
"191.0306.031","2.65"
"191.1205.061","2.63"
"171.3503.015","3.09"
"201.3503.041","2.43"
"171.2904.033","3.46"
"201.3402.043","1.38"
"161.0605.558","2.62"
