"Alumno","Indicador 22"
"211.0804.007","1.57"
"171.0906.027","2.62"
"201.0906.037","1.97"
"171.1205.079","3"
"171.2503.017","3.48"
"171.3602.030","3.24"
"211.2503.064","1.86"
"201.0906.071","3"
"211.1006.006","1.88"
"161.1203.639","2.82"
"211.1505.067","1.84"
"201.2806.029","2.95"
"191.3602.001","2.32"
"161.0802.834","2.9"
"181.0804.061","3.18"
"181.0906.017","2.8"
"191.1006.025","3.21"
"171.2405.054","3.21"
"171.3402.024","2.2"
"191.3402.016","2.96"
"211.2503.065","1.81"
"161.1104.617","3.59"
"211.0606.060","1.58"
"201.1505.026","2.21"
"191.0506.023","2.95"
"211.2503.053","1.63"
"151.0605.720","2.82"
"171.1006.033","2.18"
"211.0105.010","1.11"
"101.0304.320","2.48"
"191.0206.005","3.08"
"191.0405.013","1.34"
"181.1405.059","3.34"
"211.1006.010","1.73"
"201.2105.005","1.26"
"181.0606.062","2.19"
"201.0606.014","2.43"
"181.0606.036","3.27"
"181.1505.085","2.64"
"191.2806.022","3.68"
"211.0804.055","1.57"
"201.0906.001","2.42"
"201.1205.010","2.38"
"201.1405.004","2.21"
"171.1505.002","2.34"
"161.3502.433","3.03"
"211.1606.015","1.87"
"201.0405.033","2.15"
"191.0906.081","2.63"
"161.0304.767","2.6"
"191.1906.046","3.78"
"211.2503.002","0.57"
"201.0606.007","2.31"
"111.0904.428","1.78"
"201.1106.011","2.7"
"201.1205.009","2.47"
"211.1405.043","1.7"
"211.0706.035","1.65"
"211.0506.030","1.92"
"151.0704.829","3.01"
"211.0804.028","1.47"
"211.1405.003","1.79"
"191.0206.015","2.36"
"211.1505.028","1.84"
"181.2806.039","3.6"
"061.0709.122","2.28"
"191.0206.027","2.96"
"211.1306.029","1.8"
"211.2806.005","1.64"
"161.0304.769","2.99"
"181.0804.027","2.98"
"112.1403.184","2.15"
"201.0706.020","2.23"
"211.1906.044","1.79"
"191.1606.004","3.76"
"181.2405.033","3.55"
"191.2503.012","2.74"
"191.0405.052","3.17"
"171.1205.068","2.9"
"171.1505.034","2.57"
"171.3402.015","3.02"
"191.2904.007","3.66"
"191.0906.007","2.49"
"161.1304.180","3.43"
"181.0306.096","2.85"
"201.3503.018","2.36"
"181.0906.025","2.83"
"191.1106.004","3.77"
"191.1505.025","2.49"
"171.1606.074","3.59"
"181.0804.031","2.85"
"161.0904.245","2.85"
"171.1405.033","3.1"
"081.1604.827","2.83"
"201.0105.007","2.43"
"201.0606.004","1.85"
"122.0802.397","2.63"
"171.0206.013","3.02"
"161.1203.674","2.93"
"201.1306.032","2.7"
"211.0906.011","1.15"
"191.3503.038","2.29"
"171.0804.048","2.91"
"181.0906.004","2.88"
"211.3602.060","1.11"
"171.1106.037","3.46"
"161.1403.709","3"
"171.1405.092","3.26"
"191.0105.047","3.18"
"191.0306.011","2.67"
"211.0606.038","1.57"
"171.0706.040","2.85"
"181.1906.025","2.57"
"191.1606.036","3.95"
"161.0904.243","1.73"
"181.1306.009","3.6"
"181.1405.031","3.45"
"201.1205.004","3.18"
"171.3402.025","0.53"
"211.1606.019","0"
"201.3503.029","2.39"
"151.0505.013","2.52"
"161.0304.765","1.49"
"132.2502.066","2.64"
"211.0706.049","1.34"
"211.0804.023","0.58"
"161.0904.798","2.87"
"151.0904.496","2.31"
"191.1405.024","3.27"
"171.1205.047","3.04"
"181.1505.015","2.47"
"211.3503.024","1.61"
"161.1604.309","3.38"
"132.0204.404","2.67"
"161.1304.722","3.07"
"211.1906.024","1.94"
"201.2105.004","1.79"
"121.0704.057","1.79"
"191.0906.017","3.47"
"171.2806.021","2.31"
"211.1606.075","1.96"
"211.0405.038","1.6"
"181.0606.040","3.06"
"081.1403.169","1.82"
"211.2405.003","1.86"
"211.1606.014","1.79"
"161.0605.503","2.78"
"161.0605.513","2.96"
"092.0904.319","1.46"
"171.1405.046","2.86"
"181.1906.050","3.49"
"171.2806.014","3.53"
"101.1004.146","3.09"
"201.1405.020","2.08"
"181.0306.026","2.58"
"201.1006.019","2.63"
"151.1004.865","3.09"
"171.1205.002","2.92"
"211.1906.054","1.43"
"211.0706.021","2.63"
"211.3503.036","1.57"
"181.0906.014","2.02"
"181.0706.041","2.86"
"211.1205.027","1.5"
"171.2806.023","3.55"
"191.2503.071","2.06"
"201.3503.008","2.63"
"151.0704.473","2.44"
"171.1405.035","3.14"
"211.0906.001","1.41"
"171.2904.012","3.47"
"201.1405.007","2.3"
"141.0204.550","2.45"
"161.0704.562","2.61"
"201.0706.016","1.81"
"191.1306.001","3.36"
"111.1503.313","2.25"
"191.1906.004","3.63"
"151.3502.793","1.34"
"181.0506.064","1.91"
"201.2503.003","2.57"
"171.0306.064","1.34"
"131.0802.512","2.46"
"171.1106.010","3.3"
"082.1403.180","1.63"
"171.1006.047","3.44"
"131.0304.748","2.01"
"191.0206.008","1.28"
"111.2403.614","2.74"
"211.1306.020","1.73"
"211.2503.039","1.44"
"132.2901.455","2.7"
"191.2904.052","3.63"
"191.0804.007","3.31"
"102.0904.347","2.26"
"171.1306.018","3.15"
"191.1606.032","3.93"
"191.3402.069","3.74"
"201.0906.017","1.75"
"181.1405.027","3.02"
